1A2X,A
1ALV,A
1AQH,A
1AX2,A
1AXN,A
1B09,A
1BAG,A
1BF2,A
1BJF,A
1BJI,A
1BJR,E
1BK9,A
1BQB,A
1BQQ,M
1BUD,A
1BYF,A
1C8I,A
1C9N,A
1CIW,A
1CLC,A
1CLV,A
1CP7,A
1CVR,A
1CYG,A
1DBI,A
1DJY,A
1DNW,C
1DSY,A
1EDH,A
1EGG,A
1EL1,A
1ELT,A
1EN7,A
1EX9,A
1EZR,A
1F8V,A
1FAK,L
1FBL,A
1FE5,A
1FLG,A
1FNZ,A
1FSU,A
1FW4,A
1FX5,A
1G33,A
1G72,A
1GCY,A
1GEN,A
1GSL,A
1H30,A
1HML,A
1HT6,A
1HUP,A
1HVE,A
1HVX,A
1IJ6,A
1IRJ,A
1IXX,A
1IXX,B
1IZK,A
1J0H,A
1J0M,A
1J55,A
1J5U,A
1J8E,A
1JC9,A
1JHN,A
1JIA,A
1JIW,P
1K12,A
1K7Q,A
1K94,A
1K96,A
1KB0,A
1KE2,A
1KEC,B
1KIT,A
1KUH,A
